gene,p_value (FoxOTriple),LogFC (FoxOtriple)
Zfp296 ,0.76350438,-0.0922158
Ptf1a ,0.53476354,-0.0922317
Catsper4 ,0.35819827,-0.0923083
53952,0.53204142,-0.0923525
Ifna13 ,0.59209863,-0.0925125
Bach1 ,0.4797059,-0.0926742
Gpr4 ,0.50314313,-0.0927267
Gopc ,0.45823818,-0.0927483
Fam5c ,0.34245651,-0.0927808
Tctn2 ,0.52516953,-0.0929333
Snrk ,0.41679827,-0.0929742
Sphk2 ,0.58900978,-0.0929783
Kif24 ,0.41041452,-0.093
Slc16a13 ,0.3479661,-0.0930183
Olfr466 ,0.59758053,-0.093035
Il17b ,0.42015083,-0.0933125
2310002J15Rik ,0.52805888,-0.093375
Fam113a ,0.50443631,-0.0935158
Doc2b ,0.47665325,-0.0935217
Olfr1164 ,0.42057327,-0.09354
Zfp821 ,0.41321132,-0.093575
Olfr161 ,0.46208658,-0.0936133
Odz1 ,0.34201435,-0.0937183
Olfr1173 ,0.47025245,-0.09374
Mkx ,0.49742971,-0.09382
Myd116 ,0.64378902,-0.093825
Usf1 ,0.50088321,-0.0938508
Vav1 ,0.44658282,-0.0938592
Ccl20 ,0.5137732,-0.0939025
Olfr360 ,0.53635365,-0.0939725
Tex18 ,0.54877658,-0.0939792
A230107C01Rik ,0.42348833,-0.0940367
Zfp526 ,0.41169649,-0.0941433
2700050L05Rik ,0.50581788,-0.0941592
Maged1 ,0.40870359,-0.094175
Baz1b ,0.35603411,-0.0942133
Rps6kl1 ,0.48628774,-0.0942892
Neurl1a ,0.49256197,-0.0942992
Dusp8 ,0.52218072,-0.09435
Lrrc26 ,0.44934081,-0.0943517
Luc7l2 ,0.43594379,-0.0944442
Eif2c1 ,0.5738977,-0.0944492
Arih2 ,0.42435656,-0.0945167
2310046O06Rik ,0.49604389,-0.0945733
Olfr763 ,0.53764272,-0.0946267
Olfr669 ,0.68642655,-0.094725
Cc2d2a ,0.57758731,-0.0947358
Pde7b ,0.51890283,-0.0949567
Pla2g3 ,0.3390996,-0.0951083
Apoa5 ,0.50707805,-0.0951175
Map3k7ip1 ,0.51200306,-0.095215
Mare ,0.44840978,-0.095305
Ahsa2 ,0.76310166,-0.0953208
Bzrap1 ,0.47039287,-0.0955542
Mpnd ,0.37741014,-0.0957333
Gfi1 ,0.42559853,-0.095745
Atf5 ,0.60050093,-0.0957958
Prnd ,0.40803763,-0.09582
Fads6 ,0.44307664,-0.0959158
Lcat ,0.36066399,-0.0959508
Sprr2j ,0.40445599,-0.0959625
AU040320 ,0.44627336,-0.096055
Zfp507 ,0.61819818,-0.09606
Rad54l ,0.33812861,-0.0961108
Dkkl1 ,0.53568757,-0.0962433
Katnb1 ,0.33735594,-0.0963192
Clec4d ,0.43900452,-0.0963658
55994,0.69826901,-0.0963775
Olfr623 ,0.45149174,-0.0963792
Ube3b ,0.43431742,-0.09642
Oas1c ,0.38495389,-0.09649
Kif2c ,0.5032153,-0.0965667
Dnajb5 ,0.46772069,-0.0965833
Wdr60 ,0.4790151,-0.0965858
926,0.44862536,-0.0966925
Cenpt ,0.41687185,-0.0967758
66183,0.33508961,-0.0968867
Olfr843 ,0.43817198,-0.0969083
Tgm4 ,0.36328388,-0.09693
BC048599 ,0.35682957,-0.0969317
Pde8a ,0.5556427,-0.0970625
Pias3 ,0.51051025,-0.09708
Tut1 ,0.522618,-0.0971383
Ifne ,0.46245947,-0.0971625
Grk5 ,0.52425094,-0.0971642
Kif27 ,0.5119019,-0.0971725
Slc22a13 ,0.50324171,-0.09724
1110032A04Rik ,0.48311553,-0.0972775
Als2cl ,0.44167332,-0.0973508
Zfhx4 ,0.42356703,-0.0974192
Olfr888 ,0.66268433,-0.09749
Ephb2 ,0.62077453,-0.0974975
Cfl1 ,0.83024158,-0.0975292
Cc2d1a ,0.3276228,-0.0976033
Rcan3 ,0.49598499,-0.0977267
Dus1l ,0.35211881,-0.0977975
Tacr3 ,0.65536486,-0.0978825
Olfr1101 ,0.57619461,-0.097885
Polg ,0.32603448,-0.0979058
Tcof1 ,0.34149801,-0.097985
Phxr4 ,0.71550064,-0.0980025
Mknk1 ,0.32176893,-0.0980425
4921509C19Rik ,0.57427048,-0.0980458
Olfr769 ,0.40441504,-0.0980608
Psmd1 ,0.3602468,-0.0981533
Stfa3 ,0.4118701,-0.0981567
Rdh7 ,0.40943328,-0.0982483
67468,0.36574316,-0.0983875
Klhl26 ,0.39851938,-0.0984242
Fam109b ,0.54519493,-0.0984675
Ccdc117 ,0.6763607,-0.0985417
1700080E11Rik ,0.44302393,-0.0985442
Kcnq2 ,0.53119496,-0.0985742
Isy1 ,0.59375559,-0.0986292
9530066K23Rik ,0.55294367,-0.0986817
Ncf4 ,0.31190852,-0.0987733
Npepl1 ,0.50035192,-0.0988917
Dom3z ,0.32615226,-0.0989442
Tm6sf2 ,0.4120864,-0.0989892
Rab3il1 ,0.30102779,-0.0989958
86675,0.6649953,-0.0990433
Mycs ,0.50673744,-0.0992292
Sipa1l1 ,0.48464445,-0.099265
Olfr108 ,0.35522735,-0.0993275
Brunol6 ,0.48739261,-0.0994667
Il17ra ,0.51904405,-0.09955
Cadm4 ,0.33282042,-0.0995567
Ctnna3 ,0.46688206,-0.0996425
Zw10 ,0.37556638,-0.0996758
Smndc1 ,0.50137141,-0.0997775
Smarcd1 ,0.35684497,-0.0997833
Sox13 ,0.35681138,-0.0998192
Prl2c2 ,0.39195025,-0.09986
Olfr1019 ,0.70193486,-0.0998617
Lamc2 ,0.69143692,-0.1000058
Gnao1 ,0.31586267,-0.1000333
Paqr8 ,0.67085522,-0.1000717
Nos1 ,0.50481103,-0.1002617
Vwa2 ,0.34960114,-0.1002792
Ensa ,0.47620039,-0.1003625
Mtmr15 ,0.57819447,-0.1003733
Prpf4b ,0.52171436,-0.1004025
Olfr347 ,0.7380987,-0.1004225
Rmnd1 ,0.59783087,-0.1004842
Mrps12 ,0.35130694,-0.1005925
Prdm9 ,0.44373482,-0.1005925
Actn2 ,0.66972727,-0.1006792
Habp4 ,0.40447006,-0.1007192
Mthfsd ,0.289134,-0.1007267
Il17a ,0.39242259,-0.100745
Zfp341 ,0.433902,-0.1007617
Dennd5a ,0.45737467,-0.1008142
Cdk6 ,0.704495,-0.1008567
Parp1 ,0.36071151,-0.1009875
Incenp ,0.36913799,-0.1010367
Sln ,0.50448928,-0.101045
Zbtb17 ,0.49789422,-0.101155
Rims2 ,0.44327049,-0.1012192
Clcf1 ,0.50166016,-0.1012308
Trat1 ,0.34705983,-0.101345
Hsd17b6 ,0.40362312,-0.1013492
9330119M13Rik ,0.67789188,-0.1013758
Rpa2 ,0.40703462,-0.1016542
E130112L23Rik ,0.30161952,-0.1018025
Hdac8 ,0.53451961,-0.1018692
Tnfsf8 ,0.33695644,-0.1018692
Cdh5 ,0.71641496,-0.1019492
Olfr1260 ,0.51790265,-0.1020375
Pag1 ,0.44400393,-0.1020583
Ubqlnl ,0.29818128,-0.1021225
Olfr726 ,0.74304872,-0.10214
Lpp ,0.45501632,-0.1021975
Olfr701 ,0.29016115,-0.1022158
Adprhl2 ,0.40324266,-0.1022658
Midn ,0.51944328,-0.1022917
Hps1 ,0.39871226,-0.1024283
Ppfia2 ,0.43105941,-0.1024575
4931428L18Rik ,0.54249943,-0.1024633
Man2a2 ,0.46661623,-0.1024708
Parp6 ,0.38052959,-0.1025333
Pecam1 ,0.58631639,-0.1025633
Sprr2d ,0.54533087,-0.1025642
BC033915 ,0.50165592,-0.1025917
V1ri3 ,0.78868659,-0.1026508
Cbfa2t3 ,0.47779996,-0.1026575
Nadk ,0.31125511,-0.1026775
Upb1 ,0.61608612,-0.1027283
E2f4 ,0.41868758,-0.1027342
Sidt1 ,0.31832858,-0.1028367
Col8a1 ,0.46085532,-0.1028508
AI837181 ,0.39394393,-0.1029075
Syk ,0.43711168,-0.1029608
Kitl ,0.46532489,-0.1029967
Acr ,0.4185694,-0.1031342
64254,0.41062761,-0.1031867
D2Wsu81e ,0.28462836,-0.1032642
Ncoa2 ,0.41810037,-0.1033633
Trim47 ,0.47548584,-0.1033725
Defb10 ,0.38384599,-0.1034892
Eif4ebp2 ,0.49099386,-0.1035375
Prkcd ,0.33127336,-0.1035533
4930403L05Rik ,0.50862304,-0.103685
Zbtb48 ,0.37636622,-0.1038633
Ms4a4c ,0.6742459,-0.1038642
Atxn1 ,0.42244742,-0.103895
Snapc1 ,0.44576995,-0.1039
4632411B12Rik ,0.4581723,-0.1039008
Ddx51 ,0.46034576,-0.1039225
Prr11 ,0.53005918,-0.1039642
Ptpn11 ,0.41239975,-0.1040167
Nr1i2 ,0.41695709,-0.1040183
B4galt5 ,0.4979304,-0.1040333
Fli1 ,0.43054784,-0.1040575
Wdr27 ,0.32254981,-0.1040933
Entpd3 ,0.39580603,-0.1041167
Rufy1 ,0.40486376,-0.104135
4732471D19Rik ,0.48187223,-0.1042583
Olfr1365 ,0.4770547,-0.1044142
Tnip2 ,0.47231684,-0.1044833
Slc25a41 ,0.5881254,-0.1044967
Pear1 ,0.30574251,-0.1045342
Gje1 ,0.47882115,-0.1046408
Il3 ,0.4515809,-0.1046517
Zfp629 ,0.37739029,-0.1046583
Uts2r ,0.49948498,-0.104685
Cd300lf ,0.45796138,-0.1047208
Unc5b ,0.30838843,-0.1047392
Rxra ,0.34535401,-0.1047558
Gas2l1 ,0.55213023,-0.1047575
Fhod3 ,0.69236799,-0.1048
Fam173b ,0.55343696,-0.1048625
Nup98 ,0.33910072,-0.1048917
Sema4g ,0.3857891,-0.1049192
Sim1 ,0.50390702,-0.1049317
Kcnv2 ,0.40294553,-0.104945
Itga5 ,0.38176021,-0.1051242
Grid1 ,0.29580039,-0.1052725
Git2 ,0.29620422,-0.1055242
Npc1l1 ,0.3799636,-0.1056233
Morc2a ,0.49936094,-0.1056467
2310067B10Rik ,0.53852741,-0.105655
Lipe ,0.39457902,-0.105725
Mdm4 ,0.548822,-0.1057608
Sf4 ,0.32702737,-0.1058075
V1rb2 ,0.42779535,-0.10581
Itsn2 ,0.4259447,-0.1058183
A930017M01Rik ,0.37734213,-0.1058892
Il4i1 ,0.45806366,-0.10591
33651,0.4383309,-0.1059917
Psmc5 ,0.46408151,-0.1060083
Lat ,0.35979795,-0.1061383
Ctdp1 ,0.44404222,-0.1061483
Guca2a ,0.70535738,-0.1062942
Cacnb1 ,0.35833929,-0.1064933
Stard8 ,0.48598129,-0.1065167
BC005537 ,0.32157928,-0.1065667
94333,0.58172837,-0.1066017
Otud5 ,0.29089878,-0.106635
Cx3cr1 ,0.42828681,-0.1066742
Keap1 ,0.40048848,-0.1067417
6430706D22Rik ,0.69126179,-0.1067442
Cep72 ,0.287996,-0.1067875
Tnfrsf14 ,0.32247217,-0.106805
Olfr283 ,0.42847407,-0.1068467
D830013H23Rik ,0.58103078,-0.1068533
Zfp641 ,0.31179854,-0.1069067
Pnpo ,0.49336904,-0.1069233
Sigirr ,0.42798752,-0.1070167
Trim28 ,0.30671835,-0.1070358
Csn1s2b ,0.46530686,-0.1070592
Vsig2 ,0.32491051,-0.1071558
Slc45a2 ,0.4423693,-0.1071583
Ndufa5 ,0.40422995,-0.1071725
Tnr ,0.31199396,-0.1073317
Nfkb2 ,0.56645143,-0.1074425
Higd1b ,0.42409059,-0.107455
4833424O15Rik ,0.4627994,-0.1076333
Zfp263 ,0.56159919,-0.1077133
Fbxl14 ,0.40259294,-0.1078233
Abcf3 ,0.37372829,-0.1078292
Acad10 ,0.33085583,-0.10792
Kifc3 ,0.28989746,-0.108
Pgk2 ,0.57634753,-0.1080417
6030498E09Rik ,0.40795969,-0.1082708
Ercc4 ,0.33439032,-0.1082717
Defb21 ,0.34874493,-0.1084142
Cdc6 ,0.48388203,-0.1084808
Supt5h ,0.32275252,-0.1085283
0610008F07Rik ,0.43370735,-0.108545
B930086A06Rik ,0.36481815,-0.1086892
Olfr1256 ,0.59880652,-0.1088317
B4galnt1 ,0.56769798,-0.1088333
Olfr568 ,0.54256949,-0.1088858
67737,0.31819342,-0.1089
Pdk4 ,0.5896628,-0.1089358
Nkd2 ,0.50677982,-0.1092408
Il8rb ,0.42701042,-0.1092592
Tbx4 ,0.34745339,-0.10933
Olfr823 ,0.42324542,-0.1093867
Recql5 ,0.31852949,-0.10942
Mtss1 ,0.51826856,-0.10944
B130040O20Rik ,0.41554524,-0.1095817
Flii ,0.29648815,-0.1095925
Nrp1 ,0.66928705,-0.1096208
Pla2g2e ,0.27171524,-0.1096308
Sirt7 ,0.31047866,-0.1096583
Sbf2 ,0.44745451,-0.109795
Ctdspl ,0.42713586,-0.109845
Nodal ,0.44362671,-0.10989
Nudc ,0.37547813,-0.109975
Ccdc52 ,0.31749629,-0.1099933
Myh14 ,0.46569923,-0.1100833
V1ra1 ,0.36862282,-0.1101708
Trim25 ,0.53741699,-0.11019
Tbc1d24 ,0.51590545,-0.1102925
B930095G15Rik ,0.60279459,-0.1103008
Olfr1469 ,0.33631692,-0.1103142
Rtbdn ,0.36366825,-0.1103608
Snrnp35 ,0.38348323,-0.110525
Rftn2 ,0.31958362,-0.1105608
Slc39a14 ,0.41649326,-0.1106008
4930550C14Rik ,0.50746993,-0.1106633
Traf7 ,0.34068644,-0.1106775
BC017612 ,0.35421586,-0.1107142
Tcap ,0.57490677,-0.1108233
Gfm2 ,0.42192378,-0.1108317
Olfr691 ,0.36484403,-0.11095
Yap1 ,0.28200454,-0.1110375
Mtmr4 ,0.45705968,-0.1110592
Ercc2 ,0.335001,-0.1110783
Znrf4 ,0.4045093,-0.1111025
Zic4 ,0.30587843,-0.1111142
Pcolce2 ,0.50455351,-0.11124
Cuedc1 ,0.35620067,-0.1113783
6530418L21Rik ,0.43257969,-0.1113833
Wdsub1 ,0.458529,-0.1113833
Tle6 ,0.40337374,-0.1113867
Txndc2 ,0.49551543,-0.1113892
Stk36 ,0.42130365,-0.1113933
6720458F09Rik ,0.45103323,-0.1115858
Pcif1 ,0.29032531,-0.1116233
Cdk5rap3 ,0.46490057,-0.1116825
Kctd12 ,0.44217759,-0.1117425
Xkr8 ,0.47830797,-0.1117567
Raf1 ,0.3282031,-0.1118583
Pfkfb3 ,0.5487099,-0.1118633
Pramel7 ,0.39848882,-0.111865
Rpl30 ,0.4370561,-0.1119017
Slc22a15 ,0.48474899,-0.1120483
Thada ,0.5225783,-0.1121442
Ugcgl1 ,0.30145717,-0.1123083
Scn11a ,0.34933286,-0.11231
Lamc1 ,0.60326289,-0.112345
Pcdhb17 ,0.47287503,-0.1123617
Gabrr2 ,0.35973655,-0.11239
Ddx55 ,0.33983685,-0.1124117
Cdc37 ,0.35551236,-0.112425
Rasgef1b ,0.50660211,-0.1124267
Tsen2 ,0.26000462,-0.11251
Cd83 ,0.55372552,-0.1125775
Il22ra1 ,0.393811,-0.1125875
Pdcd11 ,0.37988198,-0.1125992
Lcn10 ,0.29511708,-0.11262
Tshz2 ,0.28836038,-0.1126417
Rttn ,0.39626319,-0.1126633
Sec24b ,0.376585,-0.1127592
Amotl2 ,0.47700462,-0.1127908
4930579J09Rik ,0.4803482,-0.1128292
65741,0.42078738,-0.1128325
Epn2 ,0.32303945,-0.1128733
Plk1 ,0.64322807,-0.1129
Wwc2 ,0.33052515,-0.1129717
Ss18l1 ,0.40137086,-0.1130242
Svs3a ,0.59467401,-0.1131183
Olfr777 ,0.48811278,-0.1131275
Col4a2 ,0.310073,-0.1131742
Nup214 ,0.43249182,-0.1132492
Muc1 ,0.48782731,-0.1132617
Klf17 ,0.34923487,-0.113295
Hoxd4 ,0.43922027,-0.1133492
Ubl4b ,0.39466318,-0.1133942
Olfr167 ,0.55827655,-0.1134425
99638,0.59472005,-0.1134733
Ift140 ,0.47536053,-0.1136183
Npnt ,0.35198462,-0.1137142
V1rl1 ,0.59987254,-0.1139767
Slc15a1 ,0.31259117,-0.1141517
OTTMUSG00000011275 ,0.29145359,-0.114195
Mef2d ,0.43750347,-0.1143067
Sirt3 ,0.39765657,-0.1143525
Olfr1257 ,0.39690712,-0.1143942
Fosl1 ,0.42035042,-0.1144008
Ccdc123 ,0.31815621,-0.1147258
Pofut1 ,0.25472712,-0.1147725
Glis1 ,0.44084218,-0.1147817
Otof ,0.39281778,-0.1148817
Oas1f ,0.36013796,-0.11492
Slfn4 ,0.30694776,-0.1149425
Olfr1151 ,0.46345931,-0.1151358
Ppp1r3b ,0.39375629,-0.1152933
Olfr628 ,0.25202328,-0.1153058
Phactr1 ,0.41794269,-0.1153083
Aqp5 ,0.35281707,-0.1153883
EG381438 ,0.36205307,-0.1155142
Olfr30 ,0.71276913,-0.1156875
Ltbp4 ,0.36867965,-0.1158067
Tmem14c ,0.5189489,-0.1158742
Hpx ,0.36411363,-0.1158917
Pip5k1c ,0.30314463,-0.1159908
Cnnm1 ,0.55235204,-0.1161075
Sin3b ,0.39985296,-0.1161842
Plxna1 ,0.41188869,-0.1162692
Siah1a ,0.38395742,-0.1163108
Olfr64 ,0.62989884,-0.1163158
E330017A01Rik ,0.22465639,-0.1163358
Rxfp3 ,0.4121131,-0.1163525
Dpf3 ,0.55695817,-0.1163725
Htr1b ,0.38481928,-0.116455
Ttc13 ,0.32204608,-0.1165125
Olfr460 ,0.37894351,-0.1165792
Plk3 ,0.56554067,-0.1166167
Mmp14 ,0.27277673,-0.1166583
Hmg20b ,0.30512573,-0.1166633
Phldb2 ,0.33041928,-0.1166983
Lrrn4 ,0.23886069,-0.11678
Snph ,0.26494676,-0.1168775
Arhgef15 ,0.36139462,-0.116975
Cxcr6 ,0.42586523,-0.1169908
Cpsf4l ,0.29542539,-0.1170858
Myoc ,0.49163019,-0.1171067
Zfp608 ,0.34766789,-0.1171292
Sfrs6 ,0.29170984,-0.1172
Ttc7 ,0.31145989,-0.1172792
Wsb2 ,0.39001801,-0.1173167
Itga2b ,0.25373525,-0.1173867
Dok2 ,0.45042148,-0.1174183
Zfp704 ,0.43683677,-0.1174758
Phyhd1 ,0.25244475,-0.1176475
Bat2l ,0.42158453,-0.1176833
Flcn ,0.30991545,-0.1177725
Mex3d ,0.4852106,-0.1178417
Yipf7 ,0.25358711,-0.1180225
Olfr498 ,0.42867398,-0.11806
Ecm1 ,0.28174397,-0.1181042
Olfr417 ,0.45557086,-0.1181358
Akap1 ,0.40450673,-0.1181508
Myg1 ,0.38223068,-0.1181875
P4htm ,0.21399165,-0.1182342
Cdc7 ,0.3363447,-0.1184567
Ltbp3 ,0.37055574,-0.1186025
Rorc ,0.61176859,-0.1187125
Wipi1 ,0.38194123,-0.1188075
Ppp1r9a ,0.44416391,-0.1188167
Prlhr ,0.33737431,-0.1188808
Lgals9 ,0.69681183,-0.1189183
Ece1 ,0.41650246,-0.1189667
Zdhhc1 ,0.32240679,-0.1189775
Zfp740 ,0.48209795,-0.1190117
Irf1 ,0.40027062,-0.11912
Olfr677 ,0.30529592,-0.11913
Mtap7 ,0.38679832,-0.1191883
Olfr1156 ,0.4785352,-0.11923
Spink4 ,0.40829296,-0.1192733
Dis3l2 ,0.36360669,-0.1192867
Sep.08,0.31857722,-0.1193692
Bcl2l10 ,0.5225146,-0.1193767
Fam129a ,0.50720914,-0.1194625
Gmeb2 ,0.38438837,-0.1196
Lhfpl2 ,0.4639195,-0.1197092
Ccdc136 ,0.50886608,-0.11983
2010107E04Rik ,0.40146048,-0.1199617
Olfr507 ,0.26626246,-0.1200442
Tas2r102 ,0.67422009,-0.1200508
Msl1 ,0.48560689,-0.1204142
Ppp1r1c ,0.3303432,-0.1204933
Inppl1 ,0.31206704,-0.12065
Olfr131 ,0.5647423,-0.1206825
Klf6 ,0.66651802,-0.1207658
Pygo2 ,0.25500257,-0.1208433
Gabrp ,0.4453745,-0.1208883
Myo19 ,0.44327191,-0.1211608
D930020B18Rik ,0.28037972,-0.1211667
Retnlb ,0.2545668,-0.1211942
Gsdmd ,0.30512385,-0.1211975
9030612E09Rik ,0.37197888,-0.1212925
Rlbp1l2 ,0.33869302,-0.1214192
Oog1 ,0.28948836,-0.12145
Sipa1 ,0.34142225,-0.121485
Rbmxrt ,0.36517448,-0.1217942
Bcl6 ,0.51497237,-0.1218433
Cd300c ,0.38520194,-0.1218508
Jarid1c ,0.36727266,-0.1218642
Cxcl14 ,0.51568958,-0.1218742
Olfr909 ,0.34591347,-0.1219092
Slc37a1 ,0.48442138,-0.1219408
Nkain3 ,0.24519581,-0.1220025
Stap2 ,0.23608503,-0.1220508
Uhrf1 ,0.23890894,-0.1222033
Lpxn ,0.27110167,-0.1222433
Dcpp1 ,0.51242807,-0.1223183
Gpr87 ,0.41181615,-0.122375
Rnf44 ,0.36272192,-0.122445
Kif1c ,0.23659292,-0.1225142
Bicc1 ,0.49986252,-0.1226992
Sertad3 ,0.6921296,-0.1227125
AI504432 ,0.44033448,-0.122775
Fam148c ,0.27967599,-0.1228242
Mcm3ap ,0.34490674,-0.1228492
Diap2 ,0.34729365,-0.1229367
Zcchc6 ,0.39449784,-0.1229775
Bpil1 ,0.2443662,-0.1230058
Rnf122 ,0.38654219,-0.1230158
Olfr44 ,0.34025137,-0.1230892
Thop1 ,0.27480828,-0.1230975
Spata2 ,0.45365299,-0.1231325
Olfr1480 ,0.39898199,-0.1231333
Slc7a2 ,0.39067231,-0.1231333
Nin ,0.36332155,-0.1232317
104904,0.34302398,-0.1232475
1300014I06Rik ,0.33237344,-0.1232517
Fgf10 ,0.38205829,-0.1233733
Sumo2 ,0.32593204,-0.1234567
Sh2b1 ,0.28361438,-0.1234608
Smc5 ,0.3416154,-0.12347
Olfr125 ,0.28845352,-0.1235108
Olfr836 ,0.21886171,-0.1235458
Myh9 ,0.45019821,-0.1236017
Fyb ,0.53370127,-0.1236383
Cr2 ,0.45733849,-0.1236925
Olfr270 ,0.26101667,-0.1237233
Tmem2 ,0.52710441,-0.1237342
Olfr1433 ,0.35389873,-0.1237458
2610020H08Rik ,0.38678122,-0.1238217
Jph3 ,0.36206753,-0.1238492
Cry1 ,0.51108594,-0.1240025
Rdh5 ,0.46067933,-0.1240675
Fpr-rs6 ,0.41567863,-0.124115
Prox1 ,0.53441451,-0.1242
Slco2a1 ,0.4710902,-0.124265
Xrcc1 ,0.23829759,-0.1242675
99381,0.31818757,-0.1242858
Sars2 ,0.2149765,-0.1243508
Mon2 ,0.36884565,-0.12445
Usp27x ,0.40233888,-0.1244808
Hormad1 ,0.38525227,-0.1245983
Cyp2d34 ,0.2373388,-0.1246483
Cenpi ,0.2959023,-0.1246525
Krtap16-10 ,0.4408682,-0.1247267
Anapc5 ,0.2667603,-0.124815
Aarsd1 ,0.33573641,-0.1249125
Tigd3 ,0.41019387,-0.125015
Usp5 ,0.2544002,-0.1250533
Maml1 ,0.3198039,-0.1250783
Fam73b ,0.26300767,-0.125095
Defb14 ,0.24929248,-0.1251492
Snx25 ,0.43128903,-0.1251917
4930544G11Rik ,0.39351409,-0.1252783
Chi3l1 ,0.32184575,-0.1253317
Malt1 ,0.36040633,-0.1254383
Cyp2b19 ,0.24194303,-0.1254792
Hcst ,0.26338365,-0.1255175
Scgb1a1 ,0.22930271,-0.1255275
Mpp4 ,0.33887204,-0.1256717
1810063B07Rik ,0.51894518,-0.1257167
Mmd ,0.50007098,-0.1258225
Lsm6 ,0.45686119,-0.125835
V1rd1 ,0.458788,-0.1259225
Sh3pxd2a ,0.52328432,-0.1260058
Olfr774 ,0.26325129,-0.1260542
Dalrd3 ,0.20084438,-0.1261717
Lhfpl4 ,0.33495793,-0.1262617
Tbxas1 ,0.21720154,-0.1262817
Plec1 ,0.41339358,-0.1264667
Lgi4 ,0.21229298,-0.1264783
Csgalnact1 ,0.55303328,-0.1265008
Abcd4 ,0.27619035,-0.1265617
Phxr2 ,0.30712425,-0.12668
Vasp ,0.26329737,-0.1268375
Rnf151 ,0.34331158,-0.1268875
Med13l ,0.47045522,-0.1269
D3Ertd300e ,0.23547126,-0.1269125
Acy3 ,0.30472942,-0.1269267
Olfr895 ,0.34694759,-0.1270175
Rhbdf2 ,0.30134807,-0.127065
Setd7 ,0.37058522,-0.1271517
Lrdd ,0.26265872,-0.1272042
Tmprss4 ,0.34046141,-0.12721
Arid5a ,0.28131952,-0.1272658
Zfpl1 ,0.37013821,-0.1273125
Gpa33 ,0.39450374,-0.127415
Mar.11,0.43035081,-0.1275283
D630004N19Rik ,0.50501651,-0.1275958
Fam131a ,0.50001665,-0.1276
Myadml2 ,0.42513798,-0.1276
1700021K19Rik ,0.33240597,-0.1276017
Ctgf ,0.39399062,-0.1276692
Trip6 ,0.34290331,-0.1277133
Prkcbp1 ,0.66528689,-0.1278892
Olfr1457 ,0.3347446,-0.1279642
Fam167b ,0.40920605,-0.1280933
Abcb10 ,0.27058441,-0.1281675
B4galnt4 ,0.31600276,-0.128305
Tacstd2 ,0.42136086,-0.1283225
Ppp1r1a ,0.28427566,-0.1285167
Mta1 ,0.29229869,-0.12855
Azi1 ,0.27484175,-0.1287083
Odz2 ,0.33546703,-0.1287783
Chmp4b ,0.27378755,-0.1287833
Rnd3 ,0.22600646,-0.1287992
Rapgef3 ,0.29694242,-0.1288
Zc3h4 ,0.47574267,-0.1288217
Rgnef ,0.4115674,-0.1288633
Metapl1 ,0.58496075,-0.1288767
Sufu ,0.35151181,-0.1288775
Rai1 ,0.34650792,-0.1289042
Wdr40c ,0.33455035,-0.1290258
Pole ,0.23085745,-0.1290342
Olfr223 ,0.48148283,-0.1291767
Olfr39 ,0.22524467,-0.1292817
Dppa4 ,0.35476763,-0.1292842
Pygm ,0.2223855,-0.1294025
Heg1 ,0.43902655,-0.1294708
Cux2 ,0.37631709,-0.1295183
Magix ,0.25571964,-0.1295383
Actrt1 ,0.38675177,-0.1295967
Olfr166 ,0.46590829,-0.1296358
4931440B09Rik ,0.41259505,-0.1296708
Fcrla ,0.27670153,-0.1297458
Chka ,0.29545848,-0.1297583
1700030F18Rik ,0.27812711,-0.1298825
Pfn3 ,0.41629673,-0.1299483
Cspg4 ,0.36122361,-0.1299775
4930521G14Rik ,0.31642549,-0.1300417
4931417E11Rik ,0.23612627,-0.13011
Hist1h1d ,0.52599627,-0.1301333
Arhgef18 ,0.2377591,-0.1302675
Rp1h ,0.26673982,-0.1303992
V1rh13 ,0.34425089,-0.1304308
Spnb2 ,0.27914952,-0.1304667
Cryaa ,0.3351397,-0.1305133
Ifna4 ,0.25450286,-0.1305425
Cav3 ,0.46251053,-0.1306017
Olfr153 ,0.57982609,-0.1306158
Slc1a1 ,0.40507289,-0.13062
Serpinb7 ,0.20158176,-0.13116
Mrgprb3 ,0.28853763,-0.1312408
Ltbp2 ,0.24570389,-0.1313075
6430598A04Rik ,0.24376374,-0.1313458
Usp2 ,0.5580779,-0.131365
Acot1 ,0.38925935,-0.131525
Bcl7a ,0.40837022,-0.1315783
Fbxl7 ,0.32215839,-0.1315792
Olfr1261 ,0.25426307,-0.131635
Neurog1 ,0.35375421,-0.1316975
Acvr2b ,0.28191159,-0.1317692
Mafb ,0.57178433,-0.1318
Rgs1 ,0.66702669,-0.1318717
H2-Ab1 ,0.65855831,-0.1320142
4732465J04Rik ,0.25052986,-0.1321175
Bub1b ,0.35444917,-0.1321825
Snx8 ,0.32138548,-0.13236
Map6d1 ,0.43668104,-0.1323792
Aif1 ,0.27248671,-0.1324217
H2-DMa ,0.54984211,-0.1324483
4930519G04Rik ,0.29320134,-0.1325117
BC024479 ,0.33922102,-0.1325608
Pla2g4b ,0.36405443,-0.1325683
Ncor1 ,0.34579475,-0.1326333
C230029D21Rik ,0.56619566,-0.1327517
Glycam1 ,0.3469119,-0.132815
94032,0.23543887,-0.1328158
Ankzf1 ,0.49408976,-0.1328608
Ky ,0.35382683,-0.1329033
Ifna11 ,0.48896429,-0.1329083
Rbpj ,0.75679786,-0.1329442
